	mass A						
t	x	y	vx	vy	ax	ay	
1.268	-2.831E-2	-3.202E-2				
1.302	1.381E-2	-3.506E-4	1.106	0.792		
1.335	4.541E-2	2.077E-2	1.027	0.871	-5.804	-0.652
1.369	8.226E-2	5.771E-2	0.752	0.829	-8.517E-4	0.695
1.402	9.804E-2	7.881E-2	0.891	0.812	3.305	4.051E-3
1.435	0.140	0.110	1.215	0.974	0.658	2.645
1.469	0.177	0.142	0.827	0.904	-3.557	-5.707
1.502	0.198	0.174	0.891	0.650	-1.983	-2.431E-3
1.535	0.235	0.184	0.891	0.812	3.561	2.856
1.569	0.256	0.227	0.972	1.055	-7.863E-3	6.415
1.602	0.298	0.253	1.053	1.055	-0.662	0.660
1.636	0.324	0.295	0.752	1.130	-1.387	-2.086
1.669	0.351	0.332	0.948	0.871	2.587	-5.801
1.702	0.388	0.353	1.027	0.713	4.515	-0.639
1.736	0.419	0.380	1.128	0.830	-1.221	0.331
1.769	0.467	0.411	1.103	0.791	-7.088	3.111
1.803	0.491	0.431	0.603	0.992	-1.857	-1.053
1.836	0.506	0.476	0.851	0.853	5.521	-5.324
1.869	0.550	0.491	1.147	0.460	9.171E-3	-7.482
1.903	0.580	0.506	0.803	0.460	-2.817	9.349
1.936	0.603	0.521	0.851	0.960	-2.026	7.058
1.969	0.640	0.573	0.802	1.148	-2.799	-5.615
2.003	0.655	0.595	0.573	0.460	-0.904	-7.302
2.036	0.677	0.603	0.728	0.521	6.884	-0.975
2.070	0.707	0.633	1.006	0.561	4.557	4.569
2.103	0.744	0.640	1.146	0.690	-1.969	1.964
2.136	0.781	0.677	0.917	0.919	-4.037	2.012
2.170	0.804	0.700	0.802	0.689	-0.931	-3.742
2.203	0.834	0.722	0.851	0.640	4.032	2.022
2.236	0.863	0.745	1.032	0.804	-0.934	-0.936
2.270	0.901	0.775	0.917	0.689	-3.739	-1.875
2.303	0.923	0.790	0.639	0.533	-1.236E-3	1.009
2.337	0.945	0.812	0.917	0.804	1.874	-2.804
2.370	0.983	0.842	0.917	0.460	-1.868	-1.873
2.403	1.005	0.842	0.639	0.427	-5.904	3.926
2.437	1.027	0.872	0.558	0.896	0.913	1.119E-3
2.470	1.042	0.902	0.671	0.448	9.130	-3.639
