	mass A						
t	x	y	vx	vy	ax	ay	
0.000	0.168	-9.576E-2				
0.019	0.431	0.192	24.62	12.31		
0.038	0.742	0.192	10.77	7.182	-357.8	-102.2
0.058	0.790	0.431	5.745	10.05	164.2	54.72
0.077	0.934	0.527	11.49	4.309	109.4	-32.83
0.096	1.556	0.718	10.05	4.668	-65.66	-60.19
0.115	1.604	0.838	10.05	3.591	-131.3	-38.30
0.134	1.891	0.838	15.08	5.027	36.93	-36.93
0.154	2.107	1.005	10.05	5.027	-24.62	-12.31
0.173	2.226	1.005	12.93	2.155	0.000	-86.18
0.192	2.538	1.077	12.93	3.591	-24.62	61.56
0.211	2.657	1.125	9.336	3.591	-61.56	-86.18
0.230	2.849	1.197	12.21	1.436	160.0	-73.87
0.250	3.064	1.173	14.36	0.000	24.62	-73.87
0.269	3.328	1.197	13.65	0.000	-61.56	73.87
0.288	3.519	1.173	11.49	1.436	-73.87	-24.62
0.307	3.711	1.245	11.49	0.718	218.9	-114.9
0.327	3.902	1.197	12.93	-3.950	109.4	-38.30
0.346	4.572	0.982	12.93	-2.155	-109.4	76.61
0.365	4.764	1.053	11.49	1.436	-218.9	87.55
0.384	4.955	1.029	11.49	0.000	24.62	-123.1
0.403	5.147	1.053	12.21	-1.436	12.31	-98.49
0.423	5.362	0.982	12.21	-4.309	12.31	-98.49
0.442	5.554	0.910	12.21	-4.309	-86.18	24.62
0.461	5.769	0.838	10.05	-3.591	-49.25	36.93
0.480	5.889	0.790	9.336	-2.873	-110.8	-49.25
0.499	6.081	0.742	7.900	-5.027	-12.31	-36.93
0.519	6.152	0.622	7.182	-5.027	-24.62	-12.31
0.538	6.320	0.575	8.618	-4.309	384.7	-25.01
0.557	6.440	0.479	17.68	-6.475	256.8	-178.6
0.576	6.909	0.359	15.36	-8.197	-35.40	-74.98
0.595	7.464	-6.770E-2	8.315	-7.995	-244.0	40.27
0.615	7.464	-0.174	6.396	-8.955	-155.9	126.7
0.634	7.677	-0.366	9.594	-8.955	32.89	0.000
0.653	7.784	-0.473	5.757	-7.675	-10.96	21.93
0.672	7.869	-0.622	8.955	-8.955	43.86	-109.6
0.691	8.082	-0.771	8.955	-10.87	65.79	-164.5
0.711	8.167	-0.984	8.955	-14.71	43.86	-76.75
0.730	8.381	-1.262	12.15	-14.07	34.19	43.00
0.749	8.572	-1.454	9.632	-12.18	-140.9	24.79
0.768	8.702	-1.668	7.102	-13.68	68.06	17.07
0.787	8.809	-1.910	11.29	-12.10	5.401	40.40
0.807	9.078	-2.071	9.679	-11.29	-304.2	0.000
0.826	9.132	-2.286	-0.807	-12.91	-66.52	-54.46
0.845	9.051	-2.501	1.649	-7.433	9.847	-137.2
0.864	9.242	-2.782	1.954	-11.44	-61.83	-113.3
0.884	9.181	-3.264	-4.523	-25.33	30.05	31.71
0.903	9.091	-3.626	5.428	-19.00	527.3	232.6
0.922	9.362	-3.897	16.28	-17.19	31.02	-15.51
0.941	9.634	-4.199	6.333	-19.90	-542.8	124.1
0.960	9.573	-4.561	-4.523	-14.47	-294.7	186.1
0.980	9.483	-4.681	-2.714	-10.86	294.7	62.03
0.999	9.483	-4.923	5.428	-14.47	-59.04	-177.1
1.018	9.664	-5.164	-1.723	-15.51	-383.8	-29.52
1.037	9.423	-5.465	-12.06	-15.51	-500.4	157.5
1.056	9.242	-5.707	-16.24	-10.55	-17.68	-144.8
1.076	8.881	-5.817	-8.278	-12.07	438.7	-66.90
1.095	8.690	-6.511	7.541	-11.85	301.5	34.13
1.114	9.384	-6.607	16.52	-12.93	-136.8	153.2
1.133	9.240	-6.942	-6.464	-17.24	-824.9	0.000
1.152	9.169	-7.182	-6.464	-11.49	160.0	147.7
